cui,code
C0311245,PheCode:751.21
C0158698,PheCode:751.2
C0040441,PheCode:873.0
C0085653,PheCode:686.4
C0040336,PheCode:318.0
C0018926,PheCode:578.1
C0021364,PheCode:609.1
C0005937,PheCode:733.2
C0080178,PheCode:752.11
C1302853,PheCode:172.22
C0020450,PheCode:643.1
C0019159,PheCode:70.1
C0153633,PheCode:191.11
C0809971,PheCode:191.1
C0270549,PheCode:300.11
C0263884,PheCode:765.0
C0040136,PheCode:193.0
C0155799,PheCode:450.0
C4048331,PheCode:165.1
C0155671,PheCode:415.1
C0029456,PheCode:743.11
C1962963,PheCode:743.1
C0424641,PheCode:781.1
C0010674,PheCode:499.0
C0677659,PheCode:530.14
C0205792,PheCode:618.6
C0810047,PheCode:661.0
C2931822,PheCode:149.2
C0340464,PheCode:427.6
C4551944,PheCode:531.3
C0015300,PheCode:242.3
C4553659,PheCode:251.1
C0524620,PheCode:277.7
C0085655,PheCode:709.4
C0035258,PheCode:327.71
C2231106,PheCode:327.7
C0149521,PheCode:577.2
C0154039,PheCode:227.0
C0036572,PheCode:345.3
C0006267,PheCode:496.3
C1962956,PheCode:561.2
C0154249,PheCode:271.0
C4553964,PheCode:327.1
C0003502,PheCode:395.2
C0271930,PheCode:644.0
C4552837,PheCode:994.2
C0008512,PheCode:363.3
C0149649,PheCode:444.5
C0035086,PheCode:588.1
C0677607,PheCode:245.21
C0175999,PheCode:502.0
C0019189,PheCode:70.4
C4082762,PheCode:110.11
C0025281,PheCode:386.1
C0156318,PheCode:610.3
C0085932,PheCode:695.2
C0001339,PheCode:577.1
C1963124,PheCode:285.8
C0155733,PheCode:440.9
C0036396,PheCode:764.0
C0158240,PheCode:721.0
C0158291,PheCode:763.0
C0018946,PheCode:430.3
C4554169,PheCode:430.0
C0156616,PheCode:635.2
C1442835,PheCode:938.0
C0155921,PheCode:519.1
C0158266,PheCode:722.6
C0015407,PheCode:369.2
C0029630,PheCode:426.25
C0268799,PheCode:586.2
C0403824,PheCode:609.2
C0404572,PheCode:626.15
