"PheCode","CUI"
"1007_","C0160679|C0160680|C0160681|C0160682|C0160683|C0160684|C0160685|C0160686|C0160687|C0160689|C0160690|C0495833|C0160692|C0160693|C0273454|C0160696|C0160697|C0160698|C0392044|C0160700|C0160701|C0160703|C0160704|C0160705|C0160706|C0160707|C0160708|C0160709|C0160710|C0160711|C0160712|C0273463|C0160714|C0160715|C0160716|C0160717|C0160718|C0160719|C0160720|C0160721|C0160722|C0160723|C0160725|C0160726|C0160727|C0160728|C0160730|C0160731|C0160732|C0160733|C0160734|C0160735|C0160736|C0160737|C0160738|C0160739|C0160740|C0160742|C0273471|C0160745|C0160746|C0434195|C0160748|C0160749|C0160750|C0160751|C0160752|C0160754|C0160755|C0160756|C0160757|C0160758|C0273480|C0160761|C0160762|C0160763|C0160765|C0160766|C0160767|C0160768|C0160769|C0160770|C0273478|C0178324|C0160806|C0160807"
"1008_","C0340008|C0347620|C0347619|C0160312|C0347621|C0347624|C0347623|C0160316|C0160318|C0160319|C0160320|C0160321|C0160323|C0160324|C0160325|C0160326|C0160328|C0160329|C0160330|C0160332|C0160333|C0160334|C0160335|C0021505|C0160336|C0160337|C0160338|C1318512|C0160340|C0160341|C0160342|C0160343|C0273127|C0160345|C0160346|C0160347|C0160348|C0160349|C0160350|C0160351|C0160352|C0160353|C0160354|C0160355|C0160356|C0160357|C0160358|C0160359|C0160360|C0160361|C0160362|C0160363|C0160364|C0160365|C0160366|C0160367|C0160368|C0160369|C0160370|C0160371|C0160372|C0160373|C0160374|C0160375|C0273164|C0160377|C0160378|C0160379|C0160380|C0160381|C0160389|C0160383|C0160384|C0160385|C0160386|C0160387|C0160388|C0160390|C0160392|C0160393|C0160394|C0273175|C0160396|C0375639|C0160397|C0160399|C0160400|C0160401|C0160402|C0273182|C0375640|C0160404|C0160405|C0160407|C0160408|C0160409|C0160410|C0160411|C0160412|C0160414|C0160415|C0160416|C0160417|C0160418|C0160419|C0160420|C0160422|C0160423|C0160424|C0273197|C0160427|C0160428|C0160429|C0160430|C0478263|C0160432|C0160433|C0160434|C0160435|C0160436|C0160437|C0160438|C0160439|C0160440|C0160441|C0273128|C0160443|C0160444|C0160445|C0160446|C0160447|C0160448|C0160449|C0160450|C0160451|C0160452|C0160453|C0160454|C0160455|C0160456|C0160457|C0021779|C0160458|C0160803|C0859827|C0160805"
"1009_","C0302401|C0490041|C0018674|C0272422|C0029508|C0436055|C1260446|C1260447|C0436064|C1260449|C0161483|C0272443|C0029505|C0029504|C0161484|C0029506|C0029507|C0029509|C0175677"
"1010_","C0159079|C0159085|C0028315|C1719645|C0476388|C2349680|C2349681|C2830555|C0159125|C1135261|C0159127|C3161127|C3161128|C0159128|C0159131|C0159132|C0159135|C2349707|C2349708|C0260340|C0260341|C0260342|C0260343|C0260344|C0260345|C0260346|C0260347|C1455968|C0260348|C1135271|C1260451|C1455969|C1455970|C1135272|C0260339|C0260351|C0260352|C0481434|C0260354|C0260355|C0260356|C0700297|C0695257|C2355591|C2350012|C0543428|C0549126|C2911652|C0840990|C0490013|C0481436|C0260359|C0260360|C0260362|C0260363|C0260364|C0496613|C0496614|C0260367|C0260368|C0496615|C0740080|C0375765|C0375766|C0478550|C0260371|C1962940|C0260374|C0700173|C0700174|C0496621|C0728859|C0700172|C0260380|C1260454|C1260452|C1260453|C1962938|C0260384|C0476556|C0476555|C0375770|C0260386|C0260387|C0260389|C0260390|C0260391|C0260392|C0496634|C0375771|C0375772|C0260394|C0260395|C0490021|C0260867|C1135309|C1135310|C0362085|C0260882|C0260883|C0260884|C0419585|C1313924|C0260887|C0455701|C1955616|C1959639|C0375899|C0260889|C0700433|C0375900|C0260892|C2910575|C0420007|C0260894|C0260895|C1961127|C0260897|C0260898|C0260899|C0260901|C0260902|C0420015|C0481870|C0260905|C0260906|C0260907|C1399262|C0260909|C0260910|C0374988|C0343401|C0152977|C0262505|C0400920|C1955617|C0481868"
"1011_","C2349483|C1456234|C0160815|C0496137|C0868769|C0302414|C0235029|C0161815|C0375723|C0302415|C0375724|C0869286|C0161829|C0848411|C2349787|C0161831|C0161833|C0302422|C0161834|C0869442|C0546949|C0302430"
"1012_","C0160809|C1313863|C0160816|C2240395|C0029603|C0436115|C0543419"
"1013_","C1561822|C0004044|C0700292"
"1014_","C0161734|C0161735|C0161736|C0161737|C0016737|C0020941|C0008058|C0161738|C0018844|C0018845|C0085592|C0274288|C0152144|C0018839|C0152145|C0161741|C0161742|C0274287|C0161744|C0161745|C0029499|C0011119|C0005700|C0161747|C0161748"
"1015_","C0274287|C1306873|C0013679|C0023702|C0013143|C0311274|C0013680|C0161749|C0161750|C0026603|C0161751|C0161752|C2240397|C0302409|C2712382|C1541830|C0375699|C0375700|C0008062|C0236861|C0686721|C0375702|C1561653|C0375714|C0236859|C0375715|C0236860|C0375716|C0375717|C1135269|C1135270|C0260499|C2349852|C2349854|C0260500|C2919132|C0260868|C0260869|C0260870|C0260871|C1691210|C0877761|C2015810|C1561668"
"1019_","C0159138|C2921135|C0277538|C2712370|C0476465"
