cui,code
C0186353,CCS-PCS-ext:160
C0186355,CCS-PCS-ext:160
C0186357,CCS-PCS-ext:161
C0186362,CCS-PCS-ext:161
C0186364,CCS-PCS-ext:161
C0186365,CCS-PCS-ext:161
C0186366,CCS-PCS-ext:159
C0186372,CCS-PCS-ext:161
C0186378,CCS-PCS-ext:160
C0186382,CCS-PCS-ext:160
C0186383,CCS-PCS-ext:160
C0186390,CCS-PCS-ext:161
C0186391,CCS-PCS-ext:161
C0186393,CCS-PCS-ext:161
C0186395,CCS-PCS-ext:161
C0186396,CCS-PCS-ext:160
C0186397,CCS-PCS-ext:160
C0186408,CCS-PCS-ext:159
C0186409,CCS-PCS-ext:159
C0186412,CCS-PCS-ext:164
C0186412,CCS-PCS-ext:160
C0186413,CCS-PCS-ext:159
C0186416,CCS-PCS-ext:159
C0186417,CCS-PCS-ext:159
C0186419,CCS-PCS-ext:162
C0186428,CCS-PCS-ext:164
C0186432,CCS-PCS-ext:164
C0186435,CCS-PCS-ext:142
C0186436,CCS-PCS-ext:142
C0186438,CCS-PCS-ext:142
C0186440,CCS-PCS-ext:161
C0186441,CCS-PCS-ext:142
C0186444,CCS-PCS-ext:142
C0186445,CCS-PCS-ext:142
C0186447,CCS-PCS-ext:161
C0186448,CCS-PCS-ext:142
C0186449,CCS-PCS-ext:142
C0186459,CCS-PCS-ext:161
C0186460,CCS-PCS-ext:142
C0186461,CCS-PCS-ext:142
C0186462,CCS-PCS-ext:142
C0186464,CCS-PCS-ext:159
C0186468,CCS-PCS-ext:160
C0186471,CCS-PCS-ext:161
C0186474,CCS-PCS-ext:142
C0186475,CCS-PCS-ext:160
C0186477,CCS-PCS-ext:164
C0186478,CCS-PCS-ext:164
C0186479,CCS-PCS-ext:164
C0186480,CCS-PCS-ext:164
C0186481,CCS-PCS-ext:164
C0186486,CCS-PCS-ext:142
C0186492,CCS-PCS-ext:159
C0186498,CCS-PCS-ext:159
C0186499,CCS-PCS-ext:159
C0186502,CCS-PCS-ext:160
C0186503,CCS-PCS-ext:162
C0186506,CCS-PCS-ext:160
C0186509,CCS-PCS-ext:142
C0186510,CCS-PCS-ext:160
C0186511,CCS-PCS-ext:161
C0186512,CCS-PCS-ext:161
C0186513,CCS-PCS-ext:142
C0186514,CCS-PCS-ext:142
C0186515,CCS-PCS-ext:142
C0186516,CCS-PCS-ext:159
C0186517,CCS-PCS-ext:159
C0186521,CCS-PCS-ext:160
C0186529,CCS-PCS-ext:161
C0186532,CCS-PCS-ext:142
C0186533,CCS-PCS-ext:142
C0186536,CCS-PCS-ext:142
C0186539,CCS-PCS-ext:164
C0186540,CCS-PCS-ext:164
C0186541,CCS-PCS-ext:164
C0186542,CCS-PCS-ext:164
C0186560,CCS-PCS-ext:226
C0186561,CCS-PCS-ext:226
C0186568,CCS-PCS-ext:161
C0186578,CCS-PCS-ext:161
C0186579,CCS-PCS-ext:161
C0186580,CCS-PCS-ext:161
C0186583,CCS-PCS-ext:148
C0186584,CCS-PCS-ext:145
C0186589,CCS-PCS-ext:149
C0186590,CCS-PCS-ext:162
C0186591,CCS-PCS-ext:162
C0186592,CCS-PCS-ext:162
C0186593,CCS-PCS-ext:162
C0186600,CCS-PCS-ext:149
C0186601,CCS-PCS-ext:162
C0186602,CCS-PCS-ext:162
C0186603,CCS-PCS-ext:162
C0186604,CCS-PCS-ext:162
C0186608,CCS-PCS-ext:164
C0186613,CCS-PCS-ext:161
C0186618,CCS-PCS-ext:160
C0186620,CCS-PCS-ext:160
C0186626,CCS-PCS-ext:154
C0186627,CCS-PCS-ext:154
C0186648,CCS-PCS-ext:148
C0186653,CCS-PCS-ext:162
C0186670,CCS-PCS-ext:161
C0186676,CCS-PCS-ext:161
C0186678,CCS-PCS-ext:161
C0186688,CCS-PCS-ext:142
C0186689,CCS-PCS-ext:161
C0186700,CCS-PCS-ext:160
C0186701,CCS-PCS-ext:154
C0186727,CCS-PCS-ext:160
C0186728,CCS-PCS-ext:160
C0186729,CCS-PCS-ext:161
C0186730,CCS-PCS-ext:161
C0186731,CCS-PCS-ext:161
C0186732,CCS-PCS-ext:148
C0186733,CCS-PCS-ext:148
C0186734,CCS-PCS-ext:161
C0186736,CCS-PCS-ext:161
C0186775,CCS-PCS-ext:160
C0186779,CCS-PCS-ext:161
C0186782,CCS-PCS-ext:154
C0186784,CCS-PCS-ext:154
C0186785,CCS-PCS-ext:154
C0186787,CCS-PCS-ext:160
C0186788,CCS-PCS-ext:160
C0186790,CCS-PCS-ext:162
C0186791,CCS-PCS-ext:162
C0186793,CCS-PCS-ext:145
C0186797,CCS-PCS-ext:164
C0186807,CCS-PCS-ext:154
C0186823,CCS-PCS-ext:145
C0186836,CCS-PCS-ext:161
C0186837,CCS-PCS-ext:161
C0186838,CCS-PCS-ext:161
C0186843,CCS-PCS-ext:161
C0186844,CCS-PCS-ext:161
C0186850,CCS-PCS-ext:145
C0186851,CCS-PCS-ext:161
C0186852,CCS-PCS-ext:161
C0186853,CCS-PCS-ext:161
C0186854,CCS-PCS-ext:154
C0186855,CCS-PCS-ext:154
C0186856,CCS-PCS-ext:154
C0186863,CCS-PCS-ext:161
C0186865,CCS-PCS-ext:161
C0186867,CCS-PCS-ext:161
C0186917,CCS-PCS-ext:162
C0186918,CCS-PCS-ext:162
C0186921,CCS-PCS-ext:162
C0186941,CCS-PCS-ext:160
C0186942,CCS-PCS-ext:160
C0186970,CCS-PCS-ext:214
C0186971,CCS-PCS-ext:214
C0186972,CCS-PCS-ext:214
C0186973,CCS-PCS-ext:145
C0186974,CCS-PCS-ext:214
C0186977,CCS-PCS-ext:148
C0186978,CCS-PCS-ext:148
C0186979,CCS-PCS-ext:148
C0186980,CCS-PCS-ext:148
C0186981,CCS-PCS-ext:148
C0186983,CCS-PCS-ext:148
C0186984,CCS-PCS-ext:148
C0186985,CCS-PCS-ext:162
C0186989,CCS-PCS-ext:148
C0186990,CCS-PCS-ext:148
C0186993,CCS-PCS-ext:148
C0186994,CCS-PCS-ext:148
C0186995,CCS-PCS-ext:148
C0186996,CCS-PCS-ext:148
C0187022,CCS-PCS-ext:145
C0187023,CCS-PCS-ext:145
C0187024,CCS-PCS-ext:145
C0187026,CCS-PCS-ext:145
C0187027,CCS-PCS-ext:145
C0187028,CCS-PCS-ext:145
C0187029,CCS-PCS-ext:145
C0187030,CCS-PCS-ext:145
C0187031,CCS-PCS-ext:145
C0187032,CCS-PCS-ext:145
C0187033,CCS-PCS-ext:145
C0187035,CCS-PCS-ext:145
C0187036,CCS-PCS-ext:145
C0187044,CCS-PCS-ext:145
C0187052,CCS-PCS-ext:145
C0187053,CCS-PCS-ext:145
C0187057,CCS-PCS-ext:214
C0187058,CCS-PCS-ext:214
C0187082,CCS-PCS-ext:150
C0187087,CCS-PCS-ext:160
C0187094,CCS-PCS-ext:160
C0187095,CCS-PCS-ext:160
C0187123,CCS-PCS-ext:160
C0187125,CCS-PCS-ext:160
C0187127,CCS-PCS-ext:160
C0187129,CCS-PCS-ext:160
C0187142,CCS-PCS-ext:160
C0187148,CCS-PCS-ext:168
C0187149,CCS-PCS-ext:168
C0187152,CCS-PCS-ext:160
C0187165,CCS-PCS-ext:159
C0187166,CCS-PCS-ext:159
C0187168,CCS-PCS-ext:162
C0187169,CCS-PCS-ext:160
C0187174,CCS-PCS-ext:160
C0187175,CCS-PCS-ext:159
C0187176,CCS-PCS-ext:159
C0187179,CCS-PCS-ext:160
C0187180,CCS-PCS-ext:159
C0187181,CCS-PCS-ext:160
C0187182,CCS-PCS-ext:160
C0187183,CCS-PCS-ext:160
C0187186,CCS-PCS-ext:162
C0187187,CCS-PCS-ext:142
C0187189,CCS-PCS-ext:161
C0187190,CCS-PCS-ext:164
C0187191,CCS-PCS-ext:164
C0187192,CCS-PCS-ext:164
C0187193,CCS-PCS-ext:154
C0187209,CCS-PCS-ext:142
C0187212,CCS-PCS-ext:164
C0187213,CCS-PCS-ext:164
C0187214,CCS-PCS-ext:162
C0187217,CCS-PCS-ext:142
C0187218,CCS-PCS-ext:142
C0187229,CCS-PCS-ext:160
C0187231,CCS-PCS-ext:160
C0187234,CCS-PCS-ext:160
C0187253,CCS-PCS-ext:160
C0187284,CCS-PCS-ext:159
C0187285,CCS-PCS-ext:159
C0187287,CCS-PCS-ext:160
C0187290,CCS-PCS-ext:160
C0187292,CCS-PCS-ext:142
C0187293,CCS-PCS-ext:142
C0187294,CCS-PCS-ext:142
C0187295,CCS-PCS-ext:142
C0187315,CCS-PCS-ext:226
C0187321,CCS-PCS-ext:162
C0187322,CCS-PCS-ext:162
C0187327,CCS-PCS-ext:164
C0187343,CCS-PCS-ext:164
C0187347,CCS-PCS-ext:149
C0187348,CCS-PCS-ext:162
C0187349,CCS-PCS-ext:162
C0187354,CCS-PCS-ext:149
C0187359,CCS-PCS-ext:162
C0187359,CCS-PCS-ext:154
C0187362,CCS-PCS-ext:162
C0187373,CCS-PCS-ext:160
C0187374,CCS-PCS-ext:160
C0187375,CCS-PCS-ext:162
C0187376,CCS-PCS-ext:148
C0187378,CCS-PCS-ext:162
