LOINC,va_path,phs_path,common root,diff level
48795-9,LP29693-6.LP343631-0.LP7786-9.LP31397-0,LP29693-6.LP343631-0.LP7786-9.LP31397-0.LP193274-0.LP385333-2,LP29693-6.LP343631-0.LP7786-9.LP31397-0,2
49752-9,LP29693-6.LP7791-9.LP31448-1.LP18149-2,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP16054-6.LP389832-9,LP29693-6,6
5358-7,LP29693-6.LP7844-6.LP32938-0.LP16762-4,LP29693-6.LP7844-6.LP32938-0.LP16762-4.LP39761-9.LP404042-6,LP29693-6.LP7844-6.LP32938-0.LP16762-4,2
5781-0,LP29693-6.LP7851-1,LP29693-6.LP7803-2.LP30865-7.LP16849-9.LP393799-4,LP29693-6,4
5783-6,LP29693-6.LP7851-1,LP29693-6.LP7851-1.LP16849-9.LP16850-7.LP402418-0,LP29693-6.LP7851-1,3
5834-7,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1.LP14061-3.LP36981-6.LP377064-3,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP14855-8.LP17999-1,3
58424-3,LP29693-6.LP7790-1.LP18046-0.LP31449-9,LP29693-6.LP7790-1.LP34869-5.LP99250-0.LP391966-1,LP29693-6.LP7790-1,3
5902-2,LP29693-6.LP7798-4.LP32817-6.LP32762-4,LP29693-6.LP7788-5.LP31624-7.LP16870-5.LP394044-4,LP29693-6,4
61425-5,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4.LP102595-8.LP390115-6,LP29693-6.LP7790-1.LP18046-0.LP31448-1.LP18149-2.LP15003-4,2
64084-7,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP14559-6.LP98185-9.LP220260-6.LP265737-9.LP375468-8,LP29693-6,7
6742-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP99295-5.LP393394-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9,2
6864-3,LP29693-6.LP7803-2.LP30786-5.LP31618-9,LP29693-6.LP7803-2.LP30786-5.LP31618-9.LP16455-5.LP393656-6,LP29693-6.LP7803-2.LP30786-5.LP31618-9,2
702-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17274-9.LP393399-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
703-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8.LP17278-0.LP393384-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP64195-8,2
71774-4,LP29693-6.LP7844-6,LP29693-6.LP343406-7.LP7819-8.LP30609-9.LP18171-6.LP35076-6.LP379744-8,LP29693-6,6
72526-7,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157318-9.LP380330-3,LP29693-6.LP343406-7.LP7755-4.LP31423-4,2
728-6,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0.LP17388-7.LP393445-4,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP30927-5.LP183519-0,2
72857-6,LP29693-6.LP343406-7.LP7755-4.LP31423-4,LP29693-6.LP343406-7.LP7755-4.LP31423-4.LP157327-0.LP380326-1,LP29693-6.LP343406-7.LP7755-4.LP31423-4,2
738-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17441-4.LP393434-8,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,2
741-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7.LP17463-8.LP393436-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19269-7,2
774-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5.LP17644-3.LP393409-0,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP15192-5,2
7789-1,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17674-0.LP393397-7,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
779-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP30906-9.LP393417-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
7790-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17676-5.LP393403-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
800-3,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17715-1.LP393421-5,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
802-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9.LP17717-7.LP393427-2,LP29693-6.LP7803-2.LP30786-5.LP16873-9.LP19268-9,2
8099-4,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6.LP40001-7.LP404049-1,LP29693-6.LP7844-6.LP32938-0.LP32941-4.LP17727-6,2
8310-5,LP7787-7.LP7840-4,LP7787-7.LP30605-7.LP29701-7.LP7771-1.LP65487-8.LP416017-4,LP7787-7,5
9335-1,LP29693-6.LP7846-1,LP29693-6.LP7846-1.LP14542-2.LP404133-3,LP29693-6.LP7846-1,2
