CCS,l,r
103,52334,52334
100,52335,52335
101,52336,52336
107,52337,52337
100,52338,52338
112,52339,52339
100,52340,52340
101,52341,52346
118,52347,52347
100,52351,52351
101,52352,52352
107,52353,52353
100,52354,52354
112,52355,52355
107,52356,52356
109,52400,52400
118,52402,52402
109,52441,52442
118,52450,52450
101,52500,52500
118,52510,52510
113,52601,52601
118,52606,52606
113,52612,52630
101,52640,52640
118,52647,52649
113,52650,52650
118,52700,52700
109,53000,53060
112,53080,53085
100,53200,53200
109,53210,53431
106,53440,53443
109,53444,53444
106,53445,53445
109,53446,53446
106,53447,53449
109,53450,53665
108,53670,53675
200,53800,53800
113,53850,53854
109,53855,53860
112,53899,53899
117,54000,54001
118,54015,54015
117,54050,54057
118,54060,54065
116,54100,54105
118,54110,54135
115,54150,54161
118,54162,54162
115,54163,54163
118,54164,54164
117,54200,54200
118,54205,54220
226,54230,54230
116,54231,54250
118,54300,54304
109,54308,54318
118,54322,54440
117,54450,54450
116,54500,54505
118,54510,54692
116,54699,54699
118,54700,54700
116,54800,54820
118,54830,54861
116,54865,54865
118,54900,54901
117,55000,55000
118,55040,55060
117,55100,55100
116,55110,55110
117,55120,55120
118,55150,55180
117,55200,55250
226,55300,55300
118,55400,55400
117,55450,55450
118,55500,55535
86,55540,55540
118,55550,55680
116,55700,55706
118,55720,55740
114,55801,55845
118,55859,55865
114,55866,55866
117,55870,55870
114,55873,55873
211,55874,55874
117,55875,55876
118,55899,55899
117,55920,55920
118,55970,55970
132,55980,56000
130,56100,56100
132,56200,56200
130,56300,56300
120,56301,56303
90,56304,56304
130,56305,56305
132,56306,56306
119,56307,56307
124,56308,56308
132,56309,56309
90,56310,56310
130,56311,56311
67,56312,56314
80,56315,56315
85,56316,56317
118,56318,56320
231,56321,56321
9,56322,56323
84,56324,56342
120,56343,56343
123,56344,56344
66,56345,56345
71,56346,56346
73,56347,56347
99,56348,56349
130,56350,56351
90,56352,56352
132,56353,56356
130,56360,56361
184,56362,56362
97,56363,56363
87,56399,56399
132,56400,56515
130,56600,56606
132,56620,56700
131,56720,56720
132,56740,56810
130,56820,57000
132,57010,57010
131,57020,57020
141,57022,57022
132,57023,57023
131,57061,57061
132,57065,57065
130,57100,57105
132,57106,57112
129,57120,57120
132,57130,57135
131,57150,57150
132,57155,57155
131,57156,57180
132,57200,57210
106,57220,57220
129,57230,57270
132,57280,57283
129,57284,57285
106,57287,57288
129,57289,57289
132,57291,57305
72,57307,57307
132,57308,57308
109,57310,57311
112,57320,57330
132,57335,57335
131,57400,57400
130,57410,57410
229,57415,57415
130,57420,57421
129,57423,57423
132,57425,57426
130,57450,57450
132,57451,57451
130,57452,57460
125,57461,57461
130,57500,57500
132,57505,57505
125,57510,57550
129,57555,57556
125,57558,57558
132,57700,57720
131,57800,57800
128,57820,57820
130,58100,58100
128,58102,58102
130,58110,58110
128,58120,58120
125,58140,58146
124,58150,58294
131,58300,58323
130,58340,58340
123,58345,58345
132,58346,58346
123,58350,58350
125,58353,58356
132,58400,58540
124,58541,58544
125,58545,58546
124,58548,58550
125,58551,58551
124,58552,58554
130,58555,58558
125,58559,58561
229,58562,58562
125,58563,58563
123,58565,58565
124,58570,58575
130,58578,58579
121,58600,58615
132,58660,58660
119,58661,58661
132,58662,58662
121,58670,58671
123,58672,58672
132,58673,58674
130,58679,58679
123,58700,58700
119,58720,58720
120,58740,58740
123,58750,58770
120,58800,58822
132,58823,58823
120,58825,58825
130,58900,58900
120,58920,58925
119,58940,58950
124,58951,58951
119,58952,58952
124,58953,58956
132,58957,58958
130,58960,58960
120,58970,58970
206,58972,58972
132,58974,58976
130,58980,58980
120,58982,58985
130,58986,58986
132,58987,58987
119,58988,58988
130,58990,58990
132,58992,58992
125,58994,58996
132,58999,58999
138,59000,59000
141,59001,59001
139,59012,59051
141,59070,59076
132,59100,59100
122,59120,59151
127,59160,59160
141,59200,59200
140,59300,59300
141,59320,59325
140,59350,59350
135,59400,59410
137,59412,59414
227,59420,59430
134,59510,59515
124,59525,59525
135,59610,59614
134,59618,59622
127,59812,59830
126,59840,59857
141,59866,59866
132,59870,59870
131,59871,59871
141,59897,59898
137,59899,59899
12,60000,60001
11,60100,60100
12,60200,60200
10,60210,60271
12,60280,60545
59,60600,60605
12,60650,60699
1,61000,61055
8,61070,61070
1,61105,61106
2,61107,61107
1,61108,61130
7,61140,61140
1,61150,61156
2,61210,61210
175,61215,61215
1,61250,61315
161,61316,61316
1,61320,61323
21,61330,61330
18,61332,61332
21,61333,61334
1,61340,61340
3,61343,61343
1,61345,61440
9,61450,61460
1,61470,61490
9,61500,61501
1,61510,61516
224,61517,61517
1,61518,61530
9,61531,61533
1,61534,61545
12,61546,61548
9,61550,61552
1,61556,61557
9,61558,61567
1,61570,61576
9,61580,61581
1,61582,61596
142,61597,61597
1,61598,61608
59,61609,61613
1,61615,61616
9,61618,61619
59,61623,61645
54,61650,61651
59,61680,61711
1,61712,61735
7,61750,61751
9,61760,61793
7,61795,61795
9,61796,61875
1,61880,61880
174,61885,61888
148,62000,62010
9,62100,62148
2,62160,62160
1,62161,62164
12,62165,62165
2,62180,62258
5,62263,62264
7,62267,62267
9,62268,62268
7,62269,62269
4,62270,62272
8,62273,62273
5,62274,62282
181,62284,62284
3,62287,62287
5,62288,62289
226,62290,62291
9,62292,62294
5,62298,62298
181,62302,62305
5,62310,62350
3,62351,62351
5,62355,62355
9,62360,62365
175,62367,62368
8,62369,62370
3,62380,63252
9,63265,63308
5,63600,63610
9,63615,63621
5,63650,63650
3,63655,63655
5,63657,63688
7,63690,63690
8,63691,63691
9,63700,63707
3,63709,63709
9,63710,63710
3,63740,63740
9,63741,63746
5,63750,63780
8,64400,64405
9,64408,64410
5,64412,64412
8,64413,64415
5,64416,64416
8,64417,64445
5,64446,64446
8,64447,64447
5,64448,64449
8,64450,64455
5,64461,64484
