l,r,CCS
A4572,A4572,243
A4575,A4575,243
A4580,A4580,243
A4590,A4590,243
A4595,A4595,243
A4600,A4600,243
A4601,A4601,243
A4602,A4602,243
A4604,A4604,243
A4605,A4605,243
A4606,A4606,243
A4608,A4608,243
A4609,A4609,243
A4610,A4610,243
A4611,A4611,243
A4612,A4612,243
A4613,A4613,243
A4614,A4614,243
A4615,A4615,243
A4616,A4616,243
A4617,A4617,243
A4618,A4618,243
A4619,A4619,243
A4620,A4620,243
A4621,A4621,243
A4622,A4622,243
A4623,A4623,243
A4624,A4624,243
A4625,A4625,243
A4626,A4626,243
A4627,A4627,243
A4628,A4628,243
A4629,A4629,243
A4630,A4630,243
A4631,A4631,243
A4632,A4632,243
A4633,A4633,243
A4634,A4634,243
A4635,A4635,243
A4636,A4636,243
A4637,A4637,243
A4638,A4638,243
A4639,A4639,243
A4640,A4640,243
A4641,A4641,243
A4642,A4642,243
A4643,A4643,243
A4644,A4644,243
A4645,A4645,243
A4646,A4646,243
A4647,A4647,243
A4648,A4648,243
A4649,A4649,243
A4650,A4650,243
A4651,A4651,243
A4652,A4652,243
A4653,A4653,243
A4655,A4655,243
A4656,A4656,243
A4657,A4657,243
A4660,A4660,243
A4663,A4663,243
A4670,A4670,243
A4671,A4671,243
A4672,A4672,243
A4673,A4673,243
A4674,A4674,243
A4680,A4680,243
A4690,A4690,243
A4700,A4700,243
A4705,A4705,243
A4706,A4706,243
A4707,A4707,243
A4708,A4708,243
A4709,A4709,243
A4712,A4712,243
A4714,A4714,243
A4719,A4719,243
A4720,A4720,243
A4721,A4721,243
A4722,A4722,243
A4723,A4723,243
A4724,A4724,243
A4725,A4725,243
A4726,A4726,243
A4728,A4728,243
A4730,A4730,243
A4735,A4735,243
A4736,A4736,243
A4737,A4737,243
A4740,A4740,243
A4750,A4750,243
A4755,A4755,243
A4760,A4760,243
A4765,A4765,243
A4766,A4766,243
A4770,A4770,243
A4771,A4771,243
A4772,A4772,243
A4773,A4773,243
A4774,A4774,243
A4780,A4780,243
A4790,A4790,243
A4800,A4800,243
A4801,A4801,240
A4802,A4802,240
A4820,A4820,243
A4850,A4850,243
A4860,A4860,243
A4870,A4870,243
A4880,A4880,243
A4890,A4890,243
A4900,A4900,243
A4901,A4901,243
A4905,A4905,243
A4910,A4910,243
A4911,A4911,243
A4912,A4912,243
A4913,A4913,243
A4914,A4914,243
A4918,A4918,243
A4919,A4919,243
A4920,A4920,243
A4921,A4921,243
A4927,A4927,243
A4928,A4928,243
A4929,A4929,243
A4930,A4930,243
A4931,A4931,243
A4932,A4932,243
A5051,A5051,243
A5052,A5052,243
A5053,A5053,243
A5054,A5054,243
A5055,A5055,243
A5056,A5056,243
A5057,A5057,243
A5061,A5061,243
A5062,A5062,243
A5063,A5063,243
A5064,A5064,243
A5065,A5065,243
A5071,A5071,243
A5072,A5072,243
A5073,A5073,243
A5074,A5074,243
A5075,A5075,243
A5081,A5081,243
A5082,A5082,243
A5083,A5083,243
A5093,A5093,243
A5102,A5102,243
A5105,A5105,243
A5112,A5112,243
A5113,A5113,243
A5114,A5114,243
A5119,A5119,243
A5120,A5120,243
A5121,A5121,243
A5122,A5122,243
A5123,A5123,243
A5126,A5126,243
A5131,A5131,243
A5149,A5149,243
A5200,A5200,243
A5500,A5500,243
A5501,A5501,243
A5502,A5502,243
A5503,A5503,243
A5504,A5504,243
A5505,A5505,243
A5506,A5506,243
A5507,A5507,243
A5508,A5508,243
A5509,A5509,243
A5510,A5510,243
A5511,A5511,243
A5512,A5512,243
A5513,A5513,243
A5514,A5514,243
A6000,A6000,243
A6010,A6010,243
A6011,A6011,243
A6020,A6020,243
A6021,A6021,243
A6022,A6022,243
A6023,A6023,243
A6024,A6024,243
A6025,A6025,243
A6154,A6154,243
A6196,A6196,243
A6197,A6197,243
A6198,A6198,243
A6199,A6199,243
A6200,A6200,243
A6201,A6201,243
A6202,A6202,243
A6203,A6203,243
A6204,A6204,243
A6205,A6205,243
A6206,A6206,243
A6207,A6207,243
A6208,A6208,243
A6209,A6209,243
A6210,A6210,243
A6211,A6211,243
A6212,A6212,243
A6213,A6213,243
A6214,A6214,243
A6215,A6215,243
A6216,A6216,243
A6217,A6217,243
A6218,A6218,243
A6219,A6219,243
A6220,A6220,243
A6221,A6221,243
A6222,A6222,243
A6223,A6223,243
A6224,A6224,243
A6228,A6228,243
A6229,A6229,243
A6230,A6230,243
A6231,A6231,243
A6232,A6232,243
A6233,A6233,243
A6234,A6234,243
A6235,A6235,243
A6236,A6236,243
A6237,A6237,243
A6238,A6238,243
A6239,A6239,243
A6240,A6240,243
A6241,A6241,243
A6242,A6242,243
A6243,A6243,243
A6244,A6244,243
A6245,A6245,243
A6246,A6246,243
A6247,A6247,243
A6248,A6248,243
A6250,A6250,243
A6251,A6251,243
A6252,A6252,243
A6253,A6253,243
A6254,A6254,243
A6255,A6255,243
A6256,A6256,243
A6257,A6257,243
A6258,A6258,243
A6259,A6259,243
A6260,A6260,243
A6261,A6261,243
A6262,A6262,243
A6263,A6263,243
A6264,A6264,243
A6265,A6265,243
A6266,A6266,243
A6402,A6402,243
A6403,A6403,243
A6404,A6404,243
A6405,A6405,243
A6406,A6406,243
A6407,A6407,243
A6410,A6410,243
A6411,A6411,243
A6412,A6412,243
A6413,A6413,243
A6421,A6421,243
A6422,A6422,243
A6424,A6424,243
A6426,A6426,243
A6428,A6428,243
A6430,A6430,243
A6432,A6432,243
A6434,A6434,243
A6436,A6436,243
A6438,A6438,243
A6440,A6440,243
A6441,A6441,243
A6442,A6442,243
A6443,A6443,243
A6444,A6444,243
A6445,A6445,243
A6446,A6446,243
A6447,A6447,243
A6448,A6448,243
A6449,A6449,243
A6450,A6450,243
A6451,A6451,243
A6452,A6452,243
A6453,A6453,243
A6454,A6454,243
A6455,A6455,243
A6456,A6456,243
A6457,A6457,243
A6460,A6460,243
A6461,A6461,243
A6501,A6501,243
A6502,A6502,243
A6503,A6503,243
A6504,A6504,243
A6505,A6505,243
A6506,A6506,243
A6507,A6507,243
A6508,A6508,243
A6509,A6509,243
A6510,A6510,243
A6511,A6511,243
A6512,A6512,243
A6513,A6513,243
A6530,A6530,243
A6531,A6531,243
A6532,A6532,243
A6533,A6533,243
A6534,A6534,243
A6535,A6535,243
A6536,A6536,243
A6537,A6537,243
A6538,A6538,243
A6539,A6539,243
A6540,A6540,243
A6541,A6541,243
A6542,A6542,243
A6543,A6543,243
A6544,A6544,243
A6545,A6545,243
A6549,A6549,243
A6550,A6550,243
A6551,A6551,243
A7000,A7000,243
A7001,A7001,243
A7002,A7002,243
A7003,A7003,243
A7004,A7004,243
A7005,A7005,243
A7006,A7006,243
A7007,A7007,243
A7008,A7008,243
A7009,A7009,243
A7010,A7010,243
A7011,A7011,243
A7012,A7012,243
A7013,A7013,243
A7014,A7014,243
A7015,A7015,243
A7016,A7016,243
A7017,A7017,243
A7018,A7018,243
A7019,A7019,243
A7020,A7020,243
A7025,A7025,243
A7026,A7026,243
A7027,A7027,243
A7028,A7028,243
A7029,A7029,243
A7030,A7030,243
A7031,A7031,243
A7032,A7032,243
A7033,A7033,243
A7034,A7034,243
A7035,A7035,243
A7036,A7036,243
A7037,A7037,243
A7038,A7038,243
A7039,A7039,243
A7040,A7040,243
A7041,A7041,243
A7042,A7042,243
A7043,A7043,243
A7044,A7044,243
A7045,A7045,243
A7046,A7046,243
A7047,A7047,243
A7048,A7048,243
A7501,A7501,243
A7502,A7502,243
A7503,A7503,243
A7504,A7504,243
A7505,A7505,243
A7506,A7506,243
A7507,A7507,243
A7508,A7508,243
A7509,A7509,243
A7520,A7520,243
A7521,A7521,243
A7522,A7522,243
A7523,A7523,243
A7524,A7524,243
A7525,A7525,243
A7526,A7526,243
A7527,A7527,243
A8000,A8000,243
A8001,A8001,243
A8002,A8002,243
A8003,A8003,243
A8004,A8004,243
A9150,A9150,240
A9152,A9152,240
A9153,A9153,240
A9155,A9155,243
A9160,A9160,243
A9170,A9170,243
A9180,A9180,243
A9190,A9190,243
A9270,A9270,243
A9272,A9272,243
A9273,A9273,243
A9274,A9274,243
A9275,A9275,243
A9276,A9276,243
A9277,A9277,243
A9278,A9278,243
A9279,A9279,243
A9280,A9280,243
A9281,A9281,243
A9282,A9282,243
A9283,A9283,243
A9284,A9284,243
A9285,A9285,243
A9286,A9286,243
A9300,A9300,243
A9500,A9500,243
A9501,A9501,243
A9502,A9502,243
A9503,A9503,243
A9504,A9504,243
A9505,A9505,243
A9507,A9507,243
A9508,A9508,243
A9509,A9509,243
A9510,A9510,243
A9511,A9511,243
A9512,A9512,243
A9513,A9513,240
A9514,A9514,243
A9515,A9515,243
A9516,A9516,243
A9517,A9517,243
A9518,A9518,243
A9519,A9519,243
A9520,A9520,243
A9521,A9521,243
A9522,A9522,243
A9523,A9523,243
A9524,A9524,243
A9525,A9525,243
A9526,A9526,243
A9527,A9527,243
A9528,A9528,243
A9529,A9529,243
A9530,A9530,243
A9531,A9531,243
A9532,A9532,243
A9533,A9533,243
A9534,A9534,243
A9535,A9535,243
A9536,A9536,243
A9537,A9537,243
A9538,A9538,243
A9539,A9539,243
A9540,A9540,243
A9541,A9541,243
A9542,A9542,243
A9543,A9543,243
A9544,A9544,243
A9545,A9545,243
A9546,A9546,243
A9547,A9547,243
A9548,A9548,243
A9549,A9549,243
A9550,A9550,243
A9551,A9551,243
A9552,A9552,243
A9553,A9553,243
A9554,A9554,243
A9555,A9555,243
A9556,A9556,243
A9557,A9557,243
A9558,A9558,243
A9559,A9559,243
A9560,A9560,243
A9561,A9561,243
A9562,A9562,243
A9563,A9563,243
A9564,A9564,243
A9565,A9565,243
A9566,A9566,243
A9567,A9567,243
A9568,A9568,243
A9569,A9569,243
A9570,A9570,243
A9571,A9571,243
A9572,A9572,243
A9575,A9575,240
A9576,A9576,243
A9577,A9577,243
A9578,A9578,243
A9579,A9579,243
A9580,A9580,243
A9581,A9581,240
A9582,A9582,240
A9583,A9583,240
A9584,A9584,243
A9585,A9585,243
A9586,A9586,243
A9587,A9587,243
A9588,A9588,243
A9589,A9589,240
A9597,A9597,243
A9598,A9598,243
A9599,A9599,243
A9600,A9600,243
A9603,A9603,243
A9604,A9604,240
A9605,A9605,243
A9606,A9606,243
A9698,A9698,243
A9699,A9699,243
A9700,A9700,243
A9900,A9900,243
A9901,A9901,239
A9999,A9999,243
B4034,B4034,243
B4035,B4035,243
B4036,B4036,243
B4081,B4081,243
B4082,B4082,243
B4083,B4083,243
B4084,B4084,243
B4085,B4085,243
B4086,B4086,243
B4087,B4087,243
B4088,B4088,243
B4100,B4100,243
B4102,B4102,223
B4103,B4103,223
B4104,B4104,223
B4105,B4105,243
