cui,test
C3517921,171.0
C3517917,171.0
C3704562,171.0
C3704567,171.0
C3704563,171.0
C3704564,171.0
C3704565,171.0
C3704566,171.0
C0370458,171.0
C0370458,171.0
C0370459,171.0
C3511943,171.0
C3517919,171.0
C3517921,171.0
C3517920,171.0
C3517917,171.0
C3517918,171.0
C3517922,171.0
C3704569,171.0
C3709305,171.0
C3704571,171.0
C3704572,171.0
C3704568,171.0
C3704570,171.0
C0370459,171.0
C0370459,171.0
C0370460,171.0
C3702623,171.0
C3517918,171.0
C3517922,171.0
C3517920,171.0
C3517917,171.0
C3517919,171.0
C3517921,171.0
C3704574,171.0
C3704577,171.0
C3704576,171.0
C3704573,171.0
C3704578,171.0
C3704575,171.0
C0370460,171.0
C0370460,171.0
C0370461,171.0
C3511945,171.0
C3517919,171.0
C3517917,171.0
C3517918,171.0
C3517920,171.0
C3517921,171.0
C3517922,171.0
C3704584,171.0
C3704583,171.0
C3704581,171.0
C3704579,171.0
C3704580,171.0
C3704582,171.0
C0370461,171.0
C0370461,171.0
